nombre,tipo,tipo_cat,lat,lon,rating,n_resenas,precio,direccion,densidad_500m,cluster_kmeans,cluster_dbscan,cluster_hdbscan,prob_hdbscan,umap_1,umap_2,tsne_1,tsne_2
Café Restaurante Banais,Restaurante,restaurante,-16.4967917,-68.1372583,4.5,853,Bs 40-120,"Sagarnaga 161, La Paz",141,1,0,5,1.0,-3.4637604,-9.405253,-58.084908,10.613593
Typica Café San Miguel,Cafetería,cafe,-16.5427615,-68.07962599999999,4.4,307,Bs 40-60,"Enrique Peñaranda 1075, La Paz",84,3,-1,1,1.0,-4.33001,12.318048,45.370888,7.306231
Typica Café,Cafetería,cafe,-16.5110113,-68.1245557,4.4,2765,Bs 40-60,"Av.6 de Agosto 2584, La Paz",87,1,-1,-1,0.0,1.4417098,2.734006,-25.142778,19.081526
Café Khofisuyo Tostadores y Panadería,Cafetería,cafe,-16.5419081,-68.08218339999999,4.2,565,Bs 20-100,"C. 16 8215, La Paz",109,3,-1,1,0.904711229772999,-3.9795392,12.7939825,45.144215,12.533283
YATI Restaurant café bar,Restaurante,restaurante,-16.49852,-68.1371576,4.6,727,Bs 40-80,"+591, La Paz",143,1,-1,5,0.8607371914267333,7.319113,-11.807894,-53.819046,5.552934
Café Buena Vista,Cafetería,cafe,-16.540568699999998,-68.0826479,4.6,40,,"Calle 16 # 80009 Zona Sur, La Paz",96,3,-1,1,0.9275551464030928,-4.200727,11.077659,45.962418,-3.9631472
Mugen Coffee Project,Cafetería,cafe,-16.5104006,-68.1260746,4.5,111,Bs 20-40,"Av.20 de Octubre 2475, La Paz",106,1,-1,4,0.6601830121237325,-1.9535319,4.655851,-27.113735,-24.398335
Mokaffee,Cafetería,cafe,-16.5410227,-68.0889724,4.5,148,Bs 20-80,"C. 10 7922, La Paz",32,3,-1,1,0.852678512387278,-2.7800903,11.136602,35.48485,2.4042346
Café Ciudad,Cafetería,cafe,-16.5052178,-68.1302749,3.8,982,Bs 20-40,"Frente al Monoblock UMSA, Avenida Villazón. 1978 Plaza Bicentenario, La Paz",61,2,-1,-1,0.0,-0.36452752,5.533416,-8.007442,-5.69517
Vainilla,Cafetería,cafe,-16.541107699999998,-68.0796562,4.1,2736,Bs 20-100,"FW5C+H45, Ferrecio, La Paz",107,3,-1,1,0.6993740553785402,-4.2678823,13.388971,46.678814,15.759138
Epico Restaurante,Cafetería,cafe,-16.540599399999998,-68.0851493,4.5,349,Bs 20-100,"Calle 14 Calacoto. Ten steps from Av Sanchez Bustamante, La Paz",72,3,-1,1,1.0,-4.1932855,12.2049885,44.122692,5.6089163
Ocheto Coffee,Cafetería,cafe,-16.499453499999998,-68.13600439999999,4.7,87,Bs 20-40,"GV27+6HP, C. Oruro, La Paz",153,1,-1,4,0.7214218911671492,12.947255,3.5702767,-32.072968,-33.19055
Mestizo Cocina de Autor,Restaurante,restaurante,-16.5404124,-68.08739179999999,4.8,205,Bs 80-140,"Calle 12 de Calacoto Edif. Peñaloza N°7900, Av. Ballivián y",47,3,-1,1,0.9344967874386051,-0.49430686,12.129681,65.61063,-10.627387
Restaurante Cafeteria Sabor Urbano,Restaurante,restaurante,-16.4975816,-68.1385245,4.8,141,Bs 20-40,"Sagarnaga 319, La Paz",125,1,-1,4,1.0,13.122883,3.4008758,-31.891825,-30.930418
Devotos Typica,Cafetería,cafe,-16.4989438,-68.13294359999999,4.7,140,Bs 20-40,"Loayza, Mercado y, La Paz",78,0,-1,-1,0.0,-1.9951848,4.380378,-25.8171,-28.508661
Typica Café Achumani,Cafetería,cafe,-16.531839299999998,-68.0725487,4.4,184,Bs 40-60,"Calle 16 de Achumani y, C. Francisco Javier Iriarte 500, La Paz",26,3,-1,1,0.787916228700409,-2.6889124,11.174362,34.886497,3.9003043
Ciclik,Restaurante,restaurante,-16.509007699999998,-68.1274857,4.0,587,Bs 20-80,"Sopocachi, Rosendo Gutierrez, Esq #393, La Paz",111,1,-1,6,0.9421362048428747,1.2332278,1.4712856,-27.359735,12.89653
Unuy Pastelería & Cafetería,Panadería,otro,-16.5014669,-68.13202849999999,5.0,48,Bs 20-40,"Campero 48, La Paz",50,0,-1,-1,0.0,-1.7528634,3.7469137,-15.448507,-33.713554
ROSSE COFFEE,Cafetería,cafe,-16.5428156,-68.0798824,3.6,316,Bs 40-60,"Gabriel René Moreno 1080, La Paz",88,3,-1,-1,0.0,-3.63036,12.369966,38.789364,13.522751
Camelot Café,Cafetería,cafe,-16.4916442,-68.1221709,4.8,97,Bs 20-40,"Av. Estados Unidos 1125, La Paz",6,0,-1,-1,0.0,-1.6688395,3.6933324,-11.955857,-34.79791
Kuchen Stube,Cafetería,cafe,-16.5093298,-68.1278066,4.3,265,Bs 40-60,"Rosendo Gutierrez 461, La Paz",111,1,-1,5,0.580375770543132,0.9655672,2.07394,-25.450369,9.497859
Ciclik,Restaurante,restaurante,-16.509007699999998,-68.1274857,4.0,587,Bs 20-80,"Sopocachi, Rosendo Gutierrez, Esq #393, La Paz",111,1,-1,6,0.9421362048428747,1.25435,1.4606743,-28.690845,13.088666
Vainilla,Cafetería,cafe,-16.541107699999998,-68.0796562,4.1,2736,Bs 20-100,"FW5C+H45, Ferrecio, La Paz",107,3,-1,1,0.6993740553785402,-4.2453704,13.406343,46.678814,15.759138
The Carrot Tree Centro,Restaurante,restaurante,-16.496185,-68.13886939999999,4.3,1541,Bs 40-60,"Inside galeria sumaya, Linares 809 esquina, La Paz",129,1,0,5,1.0,8.838381,-2.503316,-43.192684,16.055405
ROSSE COFFEE,Cafetería,cafe,-16.5428156,-68.0798824,3.6,316,Bs 40-60,"Gabriel René Moreno 1080, La Paz",88,3,-1,-1,0.0,-3.540192,12.300662,38.789364,13.522751
Araguaney Cafe,Cafetería,cafe,-16.5132662,-68.1285025,4.6,16,Bs 20-40,"Ingreso del Montículo #2657, Pedro Salazar y, La Paz",76,0,-1,-1,0.0,-1.7388386,4.088287,-15.419596,-30.522938
Las Tres Escobas Café Mágico,Cafetería,cafe,-16.5117093,-68.1221809,4.2,969,Bs 40-60,La Paz,41,2,-1,-1,0.0,0.6623033,5.097986,-6.667929,5.5251822
Otoño Café y Vinos,Cafetería,cafe,-16.5448214,-68.0787908,4.5,149,Bs 20-100,"Jose Maria Zalles 967, La Paz",68,3,-1,1,1.0,-4.1054654,11.869171,43.807533,2.6797986
Cultura Café,Cafetería,cafe,-16.5023497,-68.13236619999999,4.6,29,Bs 1-60,"Av. 16 de Julio 1636, La Paz",42,0,-1,-1,0.0,-1.7275993,3.7860794,-12.760024,-31.439386
Café Rayuela,Restaurante,restaurante,-16.5275619,-68.1072447,4.2,484,Bs 20-40,"Av. Hector Ormachea 5604, La Paz",6,2,-1,-1,0.0,-0.07598136,6.3582335,16.53278,1.5975883
Café Urbano,Cafetería,cafe,-16.507854299999998,-68.1280835,4.1,277,Bs 40-60,"C/Fernando Guachalla 339, Jauregui y, La Paz",100,1,-1,6,0.8177832819722662,1.0347376,1.6890978,-26.560629,11.045549
La Mia Aroma K-fé,Cafetería,cafe,-16.5345166,-68.0757685,4.5,31,Bs 40-60,"Calle 10 de Achumani N° 135, La Paz",27,3,-1,1,0.7495881325403475,-3.018009,10.7689705,35.816814,-1.8684554
The Lucky Llama Irish Bar,Pub irlandés,bar,-16.4962916,-68.13881909999999,4.5,326,Bs 40-80,"casi equina, galeria sumaya, Linares 809, La Paz",128,1,0,5,1.0,0.3492407,-2.0749812,-50.434513,3.9609768
Alexander Coffee,Cafetería,cafe,-16.4964178,-68.1346841,4.2,1252,Bs 20-80,"Potosi 1091, La Paz",143,1,0,5,0.8503797475970027,8.789354,-2.4020889,-45.78367,15.985793
Alexander Coffee,Cafetería,cafe,-16.5102211,-68.1262141,4.2,1180,Bs 20-80,"FVQF+WG7, Av.20 de Octubre, La Paz",107,1,1,6,1.0,1.5721418,2.5770507,-24.110376,16.079693
Café DELEITE,Cafetería,cafe,-16.5049563,-68.1285279,4.8,32,,"Servicio Estatal de Autonomias, Goitia 188, La Paz",61,0,-1,0,0.8879267185608368,-0.65977466,2.3830485,-27.51606,-2.3494081
Typica Obrajes,Cafetería,cafe,-16.526716099999998,-68.1086459,4.4,324,Bs 40-60,"Avenida Ormachea Esquina, C. 8 5390, La Paz",6,3,-1,-1,0.0,0.52062315,6.063991,11.874179,7.3035
Andean Hills coffee,Cafetería,cafe,-16.4971633,-68.13369089999999,4.9,17,Bs 1-40,"Potosi 1230, La Paz",96,0,-1,-1,0.0,-1.7848829,4.045901,-21.012604,-32.03786
Aliño Café Restaurante,Cafetería,cafe,-16.5016922,-68.1348943,4.3,35,Bs 20-40,"C. Colombia 257, La Paz",69,0,-1,-1,0.0,-1.7094396,4.371279,-14.871467,-28.01863
El caldero inglés,Cafetería,cafe,-16.5139241,-68.1294168,4.8,47,Bs 20-40,"A media cuadra de la Plaza España A media cuadra del Teleférico Amarillo, Calle Quintin n° 754, La Paz",36,0,-1,-1,0.0,-1.7165343,3.7461998,-13.575404,-33.043404
La Suisse Restaurant,Restaurante suizo,restaurante,-16.5384982,-68.0815898,4.6,1163,Más de Bs 200,"Green Tower, Gral. Inofuentes piso 38, La Paz",73,3,-1,-1,0.0,1.4371053,12.119364,76.58628,0.3571342
Llajuita,Restaurante de comida rápida,restaurante,-16.502201,-68.1325367,3.5,809,Bs 20-40,"FVX8+4X8, Av. 16 de Julio, La Paz",44,2,-1,-1,0.0,-0.29968292,5.556604,-5.0206594,-6.1601276
