nombre,tipo,lat,lon,rating,n_resenas,precio,direccion,query_origen
Oliva Restaurant - Cocina Abierta,Restaurante,-16.497125099999998,-68.13851199999999,4.6,903,Bs 40-100,"Linares, La Paz",restaurantes La Paz Bolivia
YATI Restaurant café bar,Restaurante,-16.49852,-68.1371576,4.6,727,Bs 40-80,"+591, La Paz",restaurantes La Paz Bolivia
Popular Cocina Boliviana,Restaurante,-16.496019699999998,-68.1382794,4.6,1470,Bs 80-100,"Murillo 826, La Paz",restaurantes La Paz Bolivia
Gustu,Restaurante de cocina sudamericana,-16.544706899999998,-68.086413,4.5,1887,Más de Bs 200,"Calle 10 de Calacoto, casi, La Paz",restaurantes La Paz Bolivia
Café Restaurante Banais,Restaurante,-16.4967917,-68.1372583,4.5,853,Bs 40-120,"Sagarnaga 161, La Paz",restaurantes La Paz Bolivia
ASAU,Restaurante,-16.533439899999998,-68.07230489999999,4.7,227,Bs 100-200,"C. Santiago Fajardo 123, La Paz",restaurantes La Paz Bolivia
Manq'a Restaurante,Restaurante de cocina sudamericana,-16.5101409,-68.12633509999999,4.5,869,Bs 80-100,"Plaza Abaroa, Av. 20 de octubre #927 (entre, Belisario Salinas y, La Paz",restaurantes La Paz Bolivia
Restaurante Cafeteria Sabor Urbano,Restaurante,-16.4975816,-68.1385245,4.8,141,Bs 20-40,"Sagarnaga 319, La Paz",restaurantes La Paz Bolivia
LUDO COCINA A LA VISTA,Restaurante francés,-16.509089799999998,-68.1282409,4.5,345,Bs 80-180,"Pje. Medinacelli 2268, La Paz",restaurantes La Paz Bolivia
Restaurante Vegetariano Armonia,Restaurante vegetariano,-16.510229799999998,-68.12946939999999,4.7,111,Bs 20-40,"Ecuador 2286, esquina, La Paz",restaurantes La Paz Bolivia
Bodegón Porteño,Restaurante argentino,-16.5103883,-68.124889,4.5,252,Bs 60-160,"Dentro de la Casa Argentina, Av.6 de Agosto # 2535, Casi esquina, La Paz",restaurantes La Paz Bolivia
Mestizo Cocina de Autor,Restaurante,-16.5404124,-68.08739179999999,4.8,205,Bs 80-140,"Calle 12 de Calacoto Edif. Peñaloza N°7900, Av. Ballivián y",restaurantes La Paz Bolivia
Ayluri,Restaurante,-16.501514399999998,-68.1320956,4.9,155,Bs 60-80,"Campero, La Paz",restaurantes La Paz Bolivia
La Boliviana,Restaurante,-16.4971051,-68.1378665,4.3,171,Bs 60-80,"Calle Sagárnaga esquina Murillo, Galería Chuquiago #213 [segundo piso",restaurantes La Paz Bolivia
Sabor Cubano La Paz Bolivia,Restaurante cubano,-16.4978971,-68.1389654,4.5,641,Bs 40-100,"Calle Sagarnaga 357 entre la illampu y, Linares, La Paz",restaurantes La Paz Bolivia
El Bosque Boulevard,Zona de restauración,-16.5408413,-68.08386519999999,4.6,1709,Bs 40-140,"Calle 15, Av. Sanchez Bustamante y, La Paz",restaurantes La Paz Bolivia
Carbón & Sal,Restaurante argentino,-16.5347784,-68.0724923,4.4,189,Bs 60-140,"Achumani, Av. Alexander Esq, C. 13 70, La Paz",restaurantes La Paz Bolivia
La Rufina Restaurant,Restaurante,-16.511324899999998,-68.1283646,4.4,595,Bs 60-160,"Belisario Salinas 572, La Paz",restaurantes La Paz Bolivia
La Casa del Camba - Restaurant- La Paz,Restaurante,-16.5405987,-68.08425009999999,4.0,294,Bs 80-180,"El Bosque, Calle 15 de Calacoto, Boulevard, La Paz",restaurantes La Paz Bolivia
Paceña La Salteña,Restaurante de cocina sudamericana,-16.4989176,-68.1332132,4.5,1043,Bs 20-40,"Loayza Nº 233, La Paz",restaurantes La Paz Bolivia
HASTA LA VUELTA,Restaurante,-16.5411923,-68.0946567,4.5,547,Bs 80-100,"Julian Sandoval 1001, La Paz",restaurantes La Paz Bolivia
Yerbabuena Restaurante,Restaurante occidental,-16.5401022,-68.0826956,4.6,85,Bs 80-200,"C. 16 8009, La Paz",restaurantes La Paz Bolivia
The Lucky Llama Irish Bar,Pub irlandés,-16.4962916,-68.13881909999999,4.5,326,Bs 40-80,"casi equina, galeria sumaya, Linares 809, La Paz",restaurantes La Paz Bolivia
La Suisse Restaurant,Restaurante suizo,-16.5384982,-68.0815898,4.6,1163,Más de Bs 200,"Green Tower, Gral. Inofuentes piso 38, La Paz",restaurantes La Paz Bolivia
Don Hugo Parrilla ex Parrilla Casa Argentina,Restaurante argentino,-16.5115795,-68.12491589999999,4.3,1617,Bs 60-160,"Calle Lisimaco Gutierrez #393, 20 de octubre y, La Paz",restaurantes La Paz Bolivia
Cafe Vida Vegan & Healthy Restaurant La Paz,Restaurante vegano,-16.4987778,-68.1374321,4.8,360,Bs 20-40,"el que baja al Teleférico Morado, Pasaje Juan XXIII, detrás de la calle Tarija.187, a la vuelta del English Pub, Juan XXIII, La Paz",restaurantes La Paz Bolivia
New Delhi Curry Lounge,Restaurante indio,-16.4975772,-68.138699,4.7,403,Bs 40-100,"Sagarnaga 334, La Paz",restaurantes La Paz Bolivia
Ali Pacha,Restaurante vegetariano,-16.4975331,-68.1331288,4.3,822,Más de Bs 200,"C. Colon 1306, La Paz",restaurantes La Paz Bolivia
The Carrot Tree Centro,Restaurante,-16.496185,-68.13886939999999,4.3,1541,Bs 40-60,"Inside galeria sumaya, Linares 809 esquina, La Paz",restaurantes La Paz Bolivia
Sach’a Yuntas,Restaurante peruano,-16.5408397,-68.0843577,4.5,122,Bs 80-200,La Paz,restaurantes La Paz Bolivia
La Rufina Calacoto,Restaurante,-16.5427319,-68.08184849999999,4.5,264,Bs 80-100,"Calle 16 de Calacoto 8275, La Paz",restaurantes La Paz Bolivia
Ancestral,Restaurante,-16.534428,-68.075786,4.5,478,Más de Bs 200,"Calle 10 de Achumani Maria F. Goya #135, La Paz",restaurantes La Paz Bolivia
Propiedad Pública,Restaurante,-16.543456499999998,-68.07960729999999,4.4,372,Bs 60-120,"Enrique Peñaranda, La Paz",restaurantes La Paz Bolivia
Café del Mundo,Restaurante,-16.4974839,-68.13865609999999,4.3,2178,Bs 40-60,"Sagarnaga 324, La Paz",restaurantes La Paz Bolivia
Tinto,Restaurante especializado en filetes,-16.543660499999998,-68.0875587,4.5,997,$$$,"one block from Calvert School, 9th Street of Calacoto, Las Kantutas, La Paz",restaurantes La Paz Bolivia
Fellini Pizza y Gelato,Restaurante italiano,-16.5425921,-68.0791062,4.5,1674,Bs 80-180,"Calle Rene, Gabriel René Moreno 1383, La Paz",restaurantes La Paz Bolivia
FUEGO Parrilla Experience,Restaurante,-16.5432658,-68.08228079999999,4.2,788,Bs 100-200,"C. Adolfo Gonzales N27, La Paz",restaurantes La Paz Bolivia
El Vagón del Sur,Restaurante,-16.5449043,-68.08908989999999,4.4,915,Bs 80-180,"Ave Los Sauces, La Paz",restaurantes La Paz Bolivia
El Rincón Español,Restaurante de cocina española,-16.5105021,-68.1239507,4.4,301,Bs 80-160,"FVQG+QCV, La Paz",restaurantes La Paz Bolivia
Il Falco,Restaurante italiano,-16.508532199999998,-68.1290729,4.3,797,Bs 60-80,"Guachalla 452, La Paz",restaurantes La Paz Bolivia
La Tranquera,Restaurante,-16.5408904,-68.0894184,4.4,408,Bs 80-180,"Av. Ballivián N° 369, La Paz",restaurantes La Paz Bolivia
Paladar Cozinha Brasileira,Restaurante brasileño,-16.5025482,-68.1224746,4.5,427,Bs 40-140,"FVWH+X2J, Avenida Saavedra, La Paz",restaurantes La Paz Bolivia
Bolivian Green Kitchen,Restaurante de cocina sudamericana,-16.4975243,-68.13866349999999,4.4,540,Bs 20-100,"Hotel Sagarnaga, C. Sagarnaga 326, La Paz",restaurantes La Paz Bolivia
La Grosería,Restaurante,-16.4979984,-68.13800119999999,4.4,545,Bs 40-60,"Calle Linares #940, Sagarnaga y, La Paz",restaurantes La Paz Bolivia
Ita Bella Restaurant,Restaurante,-16.514964499999998,-68.1277078,4.2,500,Bs 40-60,"De La Oliva 2805, La Paz",restaurantes La Paz Bolivia
Santo Ramen Restaurante,Restaurante japonés,-16.542485799999998,-68.0844278,4.7,513,Bs 60-140,"00000, C. 14 de Calacoto 8127, La Paz",restaurantes La Paz Bolivia
Restaurant Doña Remedios,Restaurante de cocina sudamericana,-16.5058672,-68.1289199,4.2,633,Bs 40-60,"Montevideo, Av. Arce 2081, La Paz",restaurantes La Paz Bolivia
INTI Restaurant Café Bar,Restaurante,-16.4984339,-68.1370218,4.7,257,Bs 40-60,"Tarija 215, La Paz",restaurantes La Paz Bolivia
Sumaq Mikhuy Comida Nacional,Restaurante,-16.5413274,-68.0879822,4.2,199,Bs 20-100,"Av. Sanchez Bustamante N°8025, esquina calle 11 de Calacoto, La Paz",restaurantes La Paz Bolivia
Mi Chola,Restaurante,-16.508539,-68.1284089,4.5,507,Más de Bs 200,"20 de octubre # 2228, Pje. Medinacelli #2228, La Paz",restaurantes La Paz Bolivia
Paladar-Cozinha Brasileira,Restaurante brasileño,-16.5425212,-68.0782256,4.5,577,Bs 60-160,"Av. Montenegro 858 Casi esquina, La Paz",restaurantes La Paz Bolivia
Churrasquería Sabor Gaucho,Restaurante argentino,-16.5076392,-68.1279508,4.2,1435,Bs 60-160,"Av.6 de Agosto nº 319, La Paz",restaurantes La Paz Bolivia
Nina Brasas con Altura,Restaurante italiano,-16.538343599999997,-68.08159239999999,4.1,415,Bs 100-200,"Av. de La Fuerza Naval, 3° Andar, La Paz",restaurantes La Paz Bolivia
Potokos,Restaurante de cocina sudamericana,-16.4883023,-68.1221517,4.4,229,Bs 40-100,"Costa Rica 1346, La Paz",restaurantes La Paz Bolivia
La Gaira,Hamburguesería,-16.5408491,-68.0840292,4.7,360,Bs 40-120,"FW58+M99, Av. Sanchez Bustamante, La Paz",restaurantes La Paz Bolivia
Restaurant Chabuca,Restaurante peruano,-16.4978233,-68.1191576,4.3,631,Bs 60-180,Av. Brasil entre calles Pasoskanki y Lucas Jaime Nª 1624,restaurantes La Paz Bolivia
Tutto Pasta,Restaurante italiano,-16.5435673,-68.0799026,4.1,162,Bs 60-160,"Gabriel René Moreno 1050, La Paz",restaurantes La Paz Bolivia
Pronto Dalicatessen,Restaurante italiano,-16.508262,-68.127665,4.3,419,Bs 80-100,"Jauregui 2248, La Paz",restaurantes La Paz Bolivia
Restaurant Furusato,Restaurante de sushi,-16.5390806,-68.0893751,4.6,667,Bs 60-160,"Av. de la Fuerza Naval 437, La Paz",restaurantes La Paz Bolivia
Phayawi Restaurante,Restaurante,-16.5307826,-68.06987269999999,4.4,438,Bs 80-200,"C/. 22 de Achumani, La Paz",restaurantes La Paz Bolivia
Café del Mundo,Cafetería,-16.4974839,-68.13865609999999,4.3,2178,Bs 40-60,"Sagarnaga 324, La Paz",cafeterías La Paz Bolivia
Café con Pan,Cafetería,-16.4959676,-68.1383165,4.5,208,Bs 20-40,"Murillo 826, La Paz",cafeterías La Paz Bolivia
The Writer's Coffee,Cafetería,-16.4966985,-68.1330272,4.5,481,Bs 20-40,"Interior Librería, C. Comercio 1270, La Paz",cafeterías La Paz Bolivia
Hb Bronze Coffeebar,Cafetería,-16.498013,-68.13051999999999,4.6,1368,Bs 40-120,"Plaza Tomas Frias 1570, La Paz",cafeterías La Paz Bolivia
Cafe Vida Vegan & Healthy Restaurant La Paz,Restaurante vegano,-16.4987778,-68.1374321,4.8,360,Bs 20-40,"el que baja al Teleférico Morado, Pasaje Juan XXIII, detrás de la calle Tarija.187, a la vuelta del English Pub, Juan XXIII, La Paz",cafeterías La Paz Bolivia
Typica Café Centro,Cafetería,-16.5033824,-68.130133,4.5,456,Bs 40-60,"Edificio Tres Cruces, Batallón Colorados 40, La Paz",cafeterías La Paz Bolivia
Biofilia Café,Cafetería,-16.5090146,-68.12607969999999,4.6,414,Bs 40-60,"AV. 6 DE AGOSTO #2399, Av.6 de Agosto esquina, La Paz",cafeterías La Paz Bolivia
Retrato Café,Cafetería,-16.5136739,-68.1288802,4.4,496,Bs 20-40,"Ecuador, La Paz",cafeterías La Paz Bolivia
Roaster Specialty Coffee,Cafetería,-16.5415834,-68.0787612,4.4,811,Bs 20-80,"Gabriel René Moreno, La Paz",cafeterías La Paz Bolivia
Sultana,Cafetería,-16.5124115,-68.1294209,4.5,867,Bs 40-60,"Avenida Ecuador esquina, Belisario Salinas # 2496, La Paz",cafeterías La Paz Bolivia
Typica Café San Miguel,Cafetería,-16.5427615,-68.07962599999999,4.4,307,Bs 40-60,"Enrique Peñaranda 1075, La Paz",cafeterías La Paz Bolivia
Experiment Coffee,Cafetería,-16.5069679,-68.1278863,4.6,120,Bs 20-40,"Av.6 de Agosto esquina, La Paz",cafeterías La Paz Bolivia
Ocheto Coffee,Cafetería,-16.499453499999998,-68.13600439999999,4.7,87,Bs 20-40,"GV27+6HP, C. Oruro, La Paz",cafeterías La Paz Bolivia
Wayruru Café,Cafetería,-16.5116731,-68.1265493,4.4,118,Bs 20-40,"Planta baja Gym Spazio, Sanchez Lima Esquina, La Paz",cafeterías La Paz Bolivia
Mugen Coffee Project,Cafetería,-16.5104006,-68.1260746,4.5,111,Bs 20-40,"Av.20 de Octubre 2475, La Paz",cafeterías La Paz Bolivia
Café Buena Vista,Cafetería,-16.540568699999998,-68.0826479,4.6,40,,"Calle 16 # 80009 Zona Sur, La Paz",cafeterías La Paz Bolivia
Café Khofisuyo Tostadores y Panadería,Cafetería,-16.5419081,-68.08218339999999,4.2,565,Bs 20-100,"C. 16 8215, La Paz",cafeterías La Paz Bolivia
Unuy Pastelería & Cafetería,Panadería,-16.5014669,-68.13202849999999,5.0,48,Bs 20-40,"Campero 48, La Paz",cafeterías La Paz Bolivia
Typica Café Achumani,Cafetería,-16.531839299999998,-68.0725487,4.4,184,Bs 40-60,"Calle 16 de Achumani y, C. Francisco Javier Iriarte 500, La Paz",cafeterías La Paz Bolivia
Café Restaurante Banais,Restaurante,-16.4967917,-68.1372583,4.5,853,Bs 40-120,"Sagarnaga 161, La Paz",cafeterías La Paz Bolivia
Typica Café San Miguel,Cafetería,-16.5427615,-68.07962599999999,4.4,307,Bs 40-60,"Enrique Peñaranda 1075, La Paz",cafeterías La Paz Bolivia
Typica Café,Cafetería,-16.5110113,-68.1245557,4.4,2765,Bs 40-60,"Av.6 de Agosto 2584, La Paz",cafeterías La Paz Bolivia
Café Khofisuyo Tostadores y Panadería,Cafetería,-16.5419081,-68.08218339999999,4.2,565,Bs 20-100,"C. 16 8215, La Paz",cafeterías La Paz Bolivia
YATI Restaurant café bar,Restaurante,-16.49852,-68.1371576,4.6,727,Bs 40-80,"+591, La Paz",cafeterías La Paz Bolivia
Café Buena Vista,Cafetería,-16.540568699999998,-68.0826479,4.6,40,,"Calle 16 # 80009 Zona Sur, La Paz",cafeterías La Paz Bolivia
Mugen Coffee Project,Cafetería,-16.5104006,-68.1260746,4.5,111,Bs 20-40,"Av.20 de Octubre 2475, La Paz",cafeterías La Paz Bolivia
Mokaffee,Cafetería,-16.5410227,-68.0889724,4.5,148,Bs 20-80,"C. 10 7922, La Paz",cafeterías La Paz Bolivia
Café Ciudad,Cafetería,-16.5052178,-68.1302749,3.8,982,Bs 20-40,"Frente al Monoblock UMSA, Avenida Villazón. 1978 Plaza Bicentenario, La Paz",cafeterías La Paz Bolivia
Vainilla,Cafetería,-16.541107699999998,-68.0796562,4.1,2736,Bs 20-100,"FW5C+H45, Ferrecio, La Paz",cafeterías La Paz Bolivia
Epico Restaurante,Cafetería,-16.540599399999998,-68.0851493,4.5,349,Bs 20-100,"Calle 14 Calacoto. Ten steps from Av Sanchez Bustamante, La Paz",cafeterías La Paz Bolivia
Ocheto Coffee,Cafetería,-16.499453499999998,-68.13600439999999,4.7,87,Bs 20-40,"GV27+6HP, C. Oruro, La Paz",cafeterías La Paz Bolivia
Mestizo Cocina de Autor,Restaurante,-16.5404124,-68.08739179999999,4.8,205,Bs 80-140,"Calle 12 de Calacoto Edif. Peñaloza N°7900, Av. Ballivián y",cafeterías La Paz Bolivia
Restaurante Cafeteria Sabor Urbano,Restaurante,-16.4975816,-68.1385245,4.8,141,Bs 20-40,"Sagarnaga 319, La Paz",cafeterías La Paz Bolivia
Devotos Typica,Cafetería,-16.4989438,-68.13294359999999,4.7,140,Bs 20-40,"Loayza, Mercado y, La Paz",cafeterías La Paz Bolivia
Typica Café Achumani,Cafetería,-16.531839299999998,-68.0725487,4.4,184,Bs 40-60,"Calle 16 de Achumani y, C. Francisco Javier Iriarte 500, La Paz",cafeterías La Paz Bolivia
Ciclik,Restaurante,-16.509007699999998,-68.1274857,4.0,587,Bs 20-80,"Sopocachi, Rosendo Gutierrez, Esq #393, La Paz",cafeterías La Paz Bolivia
Unuy Pastelería & Cafetería,Panadería,-16.5014669,-68.13202849999999,5.0,48,Bs 20-40,"Campero 48, La Paz",cafeterías La Paz Bolivia
ROSSE COFFEE,Cafetería,-16.5428156,-68.0798824,3.6,316,Bs 40-60,"Gabriel René Moreno 1080, La Paz",cafeterías La Paz Bolivia
Camelot Café,Cafetería,-16.4916442,-68.1221709,4.8,97,Bs 20-40,"Av. Estados Unidos 1125, La Paz",cafeterías La Paz Bolivia
Kuchen Stube,Cafetería,-16.5093298,-68.1278066,4.3,265,Bs 40-60,"Rosendo Gutierrez 461, La Paz",cafeterías La Paz Bolivia
Ciclik,Restaurante,-16.509007699999998,-68.1274857,4.0,587,Bs 20-80,"Sopocachi, Rosendo Gutierrez, Esq #393, La Paz",cafeterías La Paz Bolivia
Vainilla,Cafetería,-16.541107699999998,-68.0796562,4.1,2736,Bs 20-100,"FW5C+H45, Ferrecio, La Paz",cafeterías La Paz Bolivia
The Carrot Tree Centro,Restaurante,-16.496185,-68.13886939999999,4.3,1541,Bs 40-60,"Inside galeria sumaya, Linares 809 esquina, La Paz",cafeterías La Paz Bolivia
ROSSE COFFEE,Cafetería,-16.5428156,-68.0798824,3.6,316,Bs 40-60,"Gabriel René Moreno 1080, La Paz",cafeterías La Paz Bolivia
Araguaney Cafe,Cafetería,-16.5132662,-68.1285025,4.6,16,Bs 20-40,"Ingreso del Montículo #2657, Pedro Salazar y, La Paz",cafeterías La Paz Bolivia
Las Tres Escobas Café Mágico,Cafetería,-16.5117093,-68.1221809,4.2,969,Bs 40-60,La Paz,cafeterías La Paz Bolivia
Otoño Café y Vinos,Cafetería,-16.5448214,-68.0787908,4.5,149,Bs 20-100,"Jose Maria Zalles 967, La Paz",cafeterías La Paz Bolivia
Cultura Café,Cafetería,-16.5023497,-68.13236619999999,4.6,29,Bs 1-60,"Av. 16 de Julio 1636, La Paz",cafeterías La Paz Bolivia
Café Rayuela,Restaurante,-16.5275619,-68.1072447,4.2,484,Bs 20-40,"Av. Hector Ormachea 5604, La Paz",cafeterías La Paz Bolivia
Café Urbano,Cafetería,-16.507854299999998,-68.1280835,4.1,277,Bs 40-60,"C/Fernando Guachalla 339, Jauregui y, La Paz",cafeterías La Paz Bolivia
La Mia Aroma K-fé,Cafetería,-16.5345166,-68.0757685,4.5,31,Bs 40-60,"Calle 10 de Achumani N° 135, La Paz",cafeterías La Paz Bolivia
The Lucky Llama Irish Bar,Pub irlandés,-16.4962916,-68.13881909999999,4.5,326,Bs 40-80,"casi equina, galeria sumaya, Linares 809, La Paz",cafeterías La Paz Bolivia
Alexander Coffee,Cafetería,-16.4964178,-68.1346841,4.2,1252,Bs 20-80,"Potosi 1091, La Paz",cafeterías La Paz Bolivia
Alexander Coffee,Cafetería,-16.5102211,-68.1262141,4.2,1180,Bs 20-80,"FVQF+WG7, Av.20 de Octubre, La Paz",cafeterías La Paz Bolivia
Café DELEITE,Cafetería,-16.5049563,-68.1285279,4.8,32,,"Servicio Estatal de Autonomias, Goitia 188, La Paz",cafeterías La Paz Bolivia
Typica Obrajes,Cafetería,-16.526716099999998,-68.1086459,4.4,324,Bs 40-60,"Avenida Ormachea Esquina, C. 8 5390, La Paz",cafeterías La Paz Bolivia
Andean Hills coffee,Cafetería,-16.4971633,-68.13369089999999,4.9,17,Bs 1-40,"Potosi 1230, La Paz",cafeterías La Paz Bolivia
Aliño Café Restaurante,Cafetería,-16.5016922,-68.1348943,4.3,35,Bs 20-40,"C. Colombia 257, La Paz",cafeterías La Paz Bolivia
El caldero inglés,Cafetería,-16.5139241,-68.1294168,4.8,47,Bs 20-40,"A media cuadra de la Plaza España A media cuadra del Teleférico Amarillo, Calle Quintin n° 754, La Paz",cafeterías La Paz Bolivia
La Suisse Restaurant,Restaurante suizo,-16.5384982,-68.0815898,4.6,1163,Más de Bs 200,"Green Tower, Gral. Inofuentes piso 38, La Paz",cafeterías La Paz Bolivia
Llajuita,Restaurante de comida rápida,-16.502201,-68.1325367,3.5,809,Bs 20-40,"FVX8+4X8, Av. 16 de Julio, La Paz",comida rápida La Paz Bolivia
Paceña La Salteña,Restaurante de cocina sudamericana,-16.4989176,-68.1332132,4.5,1043,Bs 20-40,"Loayza Nº 233, La Paz",comida rápida La Paz Bolivia
Niki's Fast Food & Juices Villalobos,Restaurante de comida rápida,-16.5026479,-68.12153359999999,4.0,860,Bs 20-40,"C. R. Villalobos, La Paz",comida rápida La Paz Bolivia
Homero Burger,Restaurante,-16.4894496,-68.1388593,4.1,344,Bs 20-40,La Paz,comida rápida La Paz Bolivia
Rey Porky Landaeta,Hamburguesería,-16.5049639,-68.1315955,3.9,240,Bs 20-40,"FVW9+296, La Paz",comida rápida La Paz Bolivia
Mega Burguer,Restaurante de comida rápida,-16.4950393,-68.1355521,3.6,531,Bs 20-40,"GV37+XQP, C. Comercio, La Paz",comida rápida La Paz Bolivia
Tintoretto Food Truck,Restaurante de comida rápida,-16.5396263,-68.0840977,4.8,11,,"Calle 15 de, La Paz",comida rápida La Paz Bolivia
Pollos Copacabana,Restaurante de comida rápida,-16.5391053,-68.0792499,4.2,4578,Bs 40-60,"Av. Ballivián 1326, La Paz",comida rápida La Paz Bolivia
Go Green,Restaurante vegetariano,-16.5102088,-68.1280706,4.3,383,Bs 20-40,"Sanchez Lima 2326, La Paz",comida rápida La Paz Bolivia
Go Green,Restaurante vegetariano,-16.5411785,-68.0805483,4.7,129,Bs 20-40,"Av. Montenegro esquina, La Paz",comida rápida La Paz Bolivia
Don Papanataz,Restaurante de comida rápida,-16.4951293,-68.1353074,3.6,223,Bs 20-100,"C. Comercio, La Paz",comida rápida La Paz Bolivia
Comida China Rapida,Restaurante,-16.527537799999998,-68.10638879999999,3.8,130,Bs 20-40,La Paz,comida rápida La Paz Bolivia
Restaurante Cafeteria Sabor Urbano,Restaurante,-16.4975816,-68.1385245,4.8,141,Bs 20-40,"Sagarnaga 319, La Paz",comida rápida La Paz Bolivia
New Delhi Curry Lounge,Restaurante indio,-16.4975772,-68.138699,4.7,403,Bs 40-100,"Sagarnaga 334, La Paz",comida rápida La Paz Bolivia
Pollos Yack’s - Sopocachi,Restaurante,-16.5150847,-68.13695229999999,4.0,427,Bs 20-40,"Jaimes Freyre 2236, La Paz",comida rápida La Paz Bolivia
Q' Rollo Con El Pollo,Restaurante de comida rápida,-16.4951945,-68.12080639999999,4.5,11,Bs 20-40,"59169831775, La Paz",comida rápida La Paz Bolivia
Las Chachas,Restaurante de comida rápida,-16.5020201,-68.1325863,3.8,282,Bs 1-20,"FVX8+5XV, Av. 16 de Julio, La Paz",comida rápida La Paz Bolivia
"Texas Wings, San Miguel",Restaurante de comida rápida,-16.5438916,-68.0781592,4.4,732,Bs 20-40,"Av. Montenegro 922, La Paz",comida rápida La Paz Bolivia
Api Happy Achumani,Bar restaurante,-16.534430699999998,-68.0754725,4.0,756,Bs 20-40,La Paz,comida rápida La Paz Bolivia
La Capital Hamburguesas,Hamburguesería,-16.5120651,-68.125698,4.2,806,Bs 40-80,"Lisímaco Gutierrez 481, La Paz",comida rápida La Paz Bolivia
La Capital Hamburguesas,Hamburguesería,-16.5120651,-68.125698,4.2,806,Bs 40-80,"Lisímaco Gutierrez 481, La Paz",comida rápida La Paz Bolivia
El Bosque Boulevard,Zona de restauración,-16.5408413,-68.08386519999999,4.6,1709,Bs 40-140,"Calle 15, Av. Sanchez Bustamante y, La Paz",comida rápida La Paz Bolivia
Comida rápida MEDIA LUNA,Restaurante de comida rápida,-16.525278399999998,-68.08759789999999,5.0,2,,"Pablo Caballero 477, La Paz",comida rápida La Paz Bolivia
Snack Iglú,Restaurante,-16.501847599999998,-68.12304929999999,4.1,1190,Bs 20-40,"Calle Juan de Vargas #1924 Zona, La Paz",comida rápida La Paz Bolivia
FACTORY Grill&Bar,Restaurante americano,-16.542304299999998,-68.08552879999999,3.7,237,Bs 60-140,"C. 13 8109, La Paz",comida rápida La Paz Bolivia
La Esquina comida rápida,Restaurante de comida rápida,-16.5012273,-68.1172806,5.0,1,,"Diaz Romero 1809, La Paz",comida rápida La Paz Bolivia
Boomerang Food,Comida a domicilio,-16.4985386,-68.133028,3.4,20,,"Mercado, La Paz",comida rápida La Paz Bolivia
"Fast Food ""El Patrón"" Comida Rápida",Restaurante,-16.496758,-68.1095249,4.4,10,,alto San Antonio cruce hacía18 de mayo,comida rápida La Paz Bolivia
Pollos Cochabamba El Prado,Restaurante de comida rápida,-16.500629699999998,-68.13385389999999,3.8,1420,Bs 20-40,"Av. 16 de Julio 1205, La Paz",comida rápida La Paz Bolivia
La Huerta,Tienda de alimentos orgánicos,-16.5117992,-68.1272965,4.5,152,,"FVQF+73P, Pedro Salazar, La Paz",comida rápida La Paz Bolivia
"Texas Wings, Miraflores",Restaurante de comida rápida,-16.5027334,-68.1204648,4.2,1316,Bs 20-60,"C. R. Villalobos Nº 1969, La Paz",comida rápida La Paz Bolivia
Jack's Chicken Wings,Restaurante de comida rápida,-16.539787399999998,-68.07838989999999,4.0,94,Bs 40-60,"Avenida Manuel Víctor García Lanza, La Paz",comida rápida La Paz Bolivia
Don Pollo,Restaurante especializado en pollo,-16.4978956,-68.1210514,3.7,1083,Bs 20-40,"GV2H+RHW, Av. Busch, La Paz",comida rápida La Paz Bolivia
Comé Comi,Restaurante de comida rápida,-16.506104399999998,-68.1292582,4.1,35,,"Avenida 6 de Agosto N548, La Paz",comida rápida La Paz Bolivia
TRUCKPALU,Restaurante americano,-16.540551999999998,-68.0797813,4.3,73,Bs 20-40,"Av. Montenegro 1337, La Paz",comida rápida La Paz Bolivia
El pueblo del pique Express - Megacenter,Restaurante de comida rápida,-16.532141799999998,-68.0877174,4.4,22,Bs 60-80,"Av. Rafael Pabón, La Paz",comida rápida La Paz Bolivia
La Boliviana,Restaurante,-16.4971051,-68.1378665,4.3,171,Bs 60-80,"Calle Sagárnaga esquina Murillo, Galería Chuquiago #213 [segundo piso",comida rápida La Paz Bolivia
La Viñeta - Gourmet Fast Food,Restaurante de comida rápida,-16.5416881,-68.0668079,4.5,231,Bs 40-60,"C. 28 7c, La Paz",comida rápida La Paz Bolivia
Los Castores,Restaurante de comida rápida,-16.5085142,-68.1280378,4.0,164,Bs 1-40,"Av.20 de Octubre 2019, La Paz",comida rápida La Paz Bolivia
"Sillpichs ""Socabaya""",Restaurante de comida rápida,-16.4966973,-68.1345748,3.7,288,Bs 40-60,"GV38+85F, Socabaya, La Paz",comida rápida La Paz Bolivia
Los Castores,Restaurante de comida rápida,-16.5085142,-68.1280378,4.0,164,Bs 1-40,"Av.20 de Octubre 2019, La Paz",comida rápida La Paz Bolivia
"Sillpichs ""Socabaya""",Restaurante de comida rápida,-16.4966973,-68.1345748,3.7,288,Bs 40-60,"GV38+85F, Socabaya, La Paz",comida rápida La Paz Bolivia
Kalakitas Express,Restaurante mexicano,-16.510547499999998,-68.1259003,3.9,204,Bs 20-80,"Av. 20 de Octubre esquina, Pedro Salazar #2497, La Paz",comida rápida La Paz Bolivia
Sabor Gaucho Obrajes,Restaurante de comida rápida,-16.5292833,-68.1002918,4.1,211,Bs 40-140,"Calle 17 de, La Paz",comida rápida La Paz Bolivia
